[INFO] main.py:42 > ###############################
[INFO] main.py:43 > ##### Random Seed 1 Start #####
[INFO] main.py:44 > ###############################
[INFO] main.py:47 > _get_args: <bound method _AttributeHolder._get_args of Namespace(batchsize=16, coeff=0.5, dataset='cifar10', dataset_path='dataset/cifar10', debug=False, exp_name='blurry10', init_model=False, init_opt=True, log_path='results', lr=0.05, m=10, mem_manage='GBS', memory_size=500, model_name='resnet18', n=50, n_cls_a_task=2, n_epoch=255, n_init_cls=10, n_tasks=5, n_worker=2, noise_rate=0.0, noisy_percent=60, rnd_seed=['1', '2', '3'], robust_type='DivideMix', topk=1, transforms=['autoaug', 'cutmix'], warmup=10)>
_get_kwargs: <bound method _AttributeHolder._get_kwargs of Namespace(batchsize=16, coeff=0.5, dataset='cifar10', dataset_path='dataset/cifar10', debug=False, exp_name='blurry10', init_model=False, init_opt=True, log_path='results', lr=0.05, m=10, mem_manage='GBS', memory_size=500, model_name='resnet18', n=50, n_cls_a_task=2, n_epoch=255, n_init_cls=10, n_tasks=5, n_worker=2, noise_rate=0.0, noisy_percent=60, rnd_seed=['1', '2', '3'], robust_type='DivideMix', topk=1, transforms=['autoaug', 'cutmix'], warmup=10)>
batchsize: 16
coeff: 0.5
dataset: cifar10
dataset_path: dataset/cifar10
debug: False
exp_name: blurry10
init_model: False
init_opt: True
log_path: results
lr: 0.05
m: 10
mem_manage: GBS
memory_size: 500
model_name: resnet18
n: 50
n_cls_a_task: 2
n_epoch: 255
n_init_cls: 10
n_tasks: 5
n_worker: 2
noise_rate: 0.0
noisy_percent: 60
rnd_seed: ['1', '2', '3']
robust_type: DivideMix
topk: 1
transforms: ['autoaug', 'cutmix']
warmup: 10
[INFO] main.py:53 > Set the device (cuda)
[INFO] main.py:79 > Using train-transforms Compose(
    Resize(size=(32, 32), interpolation=bilinear, max_size=None, antialias=None)
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment CIFAR10 Policy
    ToTensor()
    Normalize(mean=(0.4914, 0.4822, 0.4465), std=(0.2023, 0.1994, 0.201))
)
[INFO] main.py:98 > [1] Select a CIL method (GBS/DivideMix)
[INFO] main.py:109 > [2] Incrementally training 5 tasks
[INFO] main.py:114 > ##################################################
[INFO] main.py:115 > # Task 0 iteration
[INFO] main.py:116 > ##################################################
[INFO] main.py:117 > [2-1] Prepare a datalist for the current task
[INFO] data_loader.py:81 > [Train] Get datalist from cifar10_train_increment50_blurry10_symN60_rand1_task0.json
[INFO] main.py:134 > [2-2] Set environment for the current task
[INFO] PuriDivER.py:794 > Apply before_task
[INFO] PuriDivER.py:823 > Blurry! There is no modification on model fc layer!
[INFO] PuriDivER.py:832 > Reset the optimizer and scheduler states
[INFO] PuriDivER.py:840 > Increasing the head of fc 10 -> 10
[INFO] main.py:141 > [2-3] Start to online train
[INFO] PuriDivER.py:960 > [0/621] loss: 5.347111701965332, diversity coeff: 0.0935084262062872, 195.115327835083 msec
[INFO] PuriDivER.py:960 > [1/621] loss: 5.472317695617676, diversity coeff: 0.09136896426908994, 61.58566474914551 msec
[INFO] PuriDivER.py:960 > [2/621] loss: 5.0756001472473145, diversity coeff: 0.0985105180657638, 70.34635543823242 msec
[INFO] PuriDivER.py:960 > [3/621] loss: 5.535109043121338, diversity coeff: 0.09033245706719481, 48.66433143615723 msec
[INFO] PuriDivER.py:960 > [4/621] loss: 5.38365364074707, diversity coeff: 0.09287373099481504, 63.87209892272949 msec
[INFO] PuriDivER.py:960 > [5/621] loss: 5.465384006500244, diversity coeff: 0.09148488000208695, 51.21970176696777 msec
[INFO] PuriDivER.py:960 > [6/621] loss: 5.056262016296387, diversity coeff: 0.09888728044323943, 50.101280212402344 msec
[INFO] PuriDivER.py:960 > [7/621] loss: 4.740071773529053, diversity coeff: 0.10548363482431886, 74.64194297790527 msec
[INFO] PuriDivER.py:960 > [8/621] loss: 5.156435012817383, diversity coeff: 0.09696621769830258, 35.79998016357422 msec
[INFO] PuriDivER.py:960 > [9/621] loss: 5.125168800354004, diversity coeff: 0.09755776238344856, 39.600372314453125 msec
[INFO] PuriDivER.py:960 > [10/621] loss: 5.159686088562012, diversity coeff: 0.09690512008247937, 47.34635353088379 msec
[INFO] PuriDivER.py:960 > [11/621] loss: 4.971621036529541, diversity coeff: 0.1005708191204024, 55.321693420410156 msec
[INFO] PuriDivER.py:960 > [12/621] loss: 4.867677211761475, diversity coeff: 0.10271839693722505, 39.80851173400879 msec
[INFO] PuriDivER.py:960 > [13/621] loss: 4.728055953979492, diversity coeff: 0.10575170955393662, 39.742469787597656 msec
[INFO] PuriDivER.py:960 > [14/621] loss: 4.521946907043457, diversity coeff: 0.11057184223485507, 42.19365119934082 msec
[INFO] PuriDivER.py:960 > [15/621] loss: 4.714151382446289, diversity coeff: 0.10606362830472739, 41.68868064880371 msec
[INFO] PuriDivER.py:960 > [16/621] loss: 4.8345866203308105, diversity coeff: 0.10342145859945046, 81.90011978149414 msec
[INFO] PuriDivER.py:960 > [17/621] loss: 4.689060211181641, diversity coeff: 0.10663117500766753, 63.45248222351074 msec
[INFO] PuriDivER.py:960 > [18/621] loss: 4.032217502593994, diversity coeff: 0.12400124737277726, 44.611454010009766 msec
[INFO] PuriDivER.py:960 > [19/621] loss: 4.801669597625732, diversity coeff: 0.10413044667780423, 45.90749740600586 msec
[INFO] PuriDivER.py:960 > [20/621] loss: 4.8262786865234375, diversity coeff: 0.10359948781991496, 45.76420783996582 msec
[INFO] PuriDivER.py:960 > [21/621] loss: 4.434165000915527, diversity coeff: 0.11276080161580916, 50.019264221191406 msec
[INFO] PuriDivER.py:960 > [22/621] loss: 4.813478469848633, diversity coeff: 0.10387498419946672, 45.37034034729004 msec
[INFO] PuriDivER.py:960 > [23/621] loss: 4.9483232498168945, diversity coeff: 0.10104432850430735, 50.788164138793945 msec
[INFO] PuriDivER.py:960 > [24/621] loss: 4.114190101623535, diversity coeff: 0.12153060205037458, 45.752763748168945 msec
[INFO] PuriDivER.py:960 > [25/621] loss: 4.7421112060546875, diversity coeff: 0.10543826963855345, 50.28581619262695 msec
[INFO] PuriDivER.py:960 > [26/621] loss: 4.672782897949219, diversity coeff: 0.1070026172667767, 49.359798431396484 msec
[INFO] PuriDivER.py:960 > [27/621] loss: 4.217547416687012, diversity coeff: 0.11855231265965527, 44.339656829833984 msec
[INFO] PuriDivER.py:960 > [28/621] loss: 4.648135185241699, diversity coeff: 0.10757002111030478, 42.67311096191406 msec
[INFO] PuriDivER.py:960 > [29/621] loss: 4.585288047790527, diversity coeff: 0.10904440348975036, 49.59702491760254 msec
[INFO] PuriDivER.py:960 > [30/621] loss: 4.360481262207031, diversity coeff: 0.11466624208056521, 46.97823524475098 msec
[INFO] PuriDivER.py:960 > [31/621] loss: 4.886956214904785, diversity coeff: 0.10231317368366104, 126.28459930419922 msec
[INFO] PuriDivER.py:960 > [32/621] loss: 4.780634880065918, diversity coeff: 0.10458861898968233, 156.30364418029785 msec
[INFO] PuriDivER.py:960 > [33/621] loss: 4.513999938964844, diversity coeff: 0.11076650570683451, 145.9672451019287 msec
[INFO] PuriDivER.py:960 > [34/621] loss: 4.683793067932129, diversity coeff: 0.10675108672568823, 210.05964279174805 msec
[INFO] PuriDivER.py:960 > [35/621] loss: 4.631182670593262, diversity coeff: 0.1079637828097049, 120.53656578063965 msec
[INFO] PuriDivER.py:960 > [36/621] loss: 5.1049113273620605, diversity coeff: 0.09794489422764817, 114.15815353393555 msec
[INFO] PuriDivER.py:960 > [37/621] loss: 4.537182807922363, diversity coeff: 0.1102005409892128, 126.5571117401123 msec
[INFO] PuriDivER.py:960 > [38/621] loss: 4.105175018310547, diversity coeff: 0.12179748677457633, 220.26586532592773 msec
[INFO] PuriDivER.py:960 > [39/621] loss: 4.867410659790039, diversity coeff: 0.10272402206177689, 106.02712631225586 msec
[INFO] PuriDivER.py:960 > [40/621] loss: 4.791810989379883, diversity coeff: 0.10434468327489393, 153.23424339294434 msec
[INFO] PuriDivER.py:960 > [41/621] loss: 4.076528549194336, diversity coeff: 0.12265337871822765, 152.42815017700195 msec
